DateTime; MotiveExpTimeSecs; Event; EventArguments
2018-07-19 13:48:22,359; 0.0; change_scene_background_color; {'color': (0.0, 0.0, 1.0), 'scene': <Scene(name='UnnamedScene'), meshes=[<Mesh(name='UnnamedMesh', position_rel=Translation(x=-0.647834420204, y=0.678760945797, z=1.00535726547), position_glob=(-0.6478344, 0.67876095, 1.0053573), rotation=RotationQuaternion(w=0.000113570131361, x=0.00783674698323, y=0.000116425188025, z=-0.999969303608))], light=<Light(name='UnnamedLight', position_rel=Translation(x=-0.677419006824, y=2.66816663742, z=1.03139007092), position_glob=(-0.677419, 2.6681666, 1.0313901), rotation=RotationEulerDegrees(x=0.0, y=0.0, z=0.0)), camera=<Camera(name='UnnamedCamera', position_rel=Translation(x=-0.677419006824, y=2.66816663742, z=1.03139007092), position_glob=(-0.677419, 2.6681666, 1.0313901), rotation=RotationEulerDegrees(x=-90.0134887695, y=-0.573300421238, z=90.9134292603))>}
2018-07-19 13:48:22,365; 0.0; wait_for_recording; {'motive_client': <natnetclient.natnet.NatClient object at 0x000000000493BF60>}
